Hz ; A Peak To Peak (v) ; B Peak To Peak (mV) ; A Cycle Time (ns) ; Phasenverschiebung (ms)
100 ; 1,512 ; 11,64 ; 10000 ; 18,66
200 ; 1,498 ; 20,84 ; 5000  ; 10,58
300 ; 1,496 ; 27,56 ; 102   ; 7,311
400 ; 1,512 ; 47,07 ; 2500  ; 5,678
500 ; 1,504 ; 93,98 ; 2000  ; 4,889
700 ; 1,512 ; 42,36 ; 1429  ; 3,801
850 ; 1,499 ; 31,24 ; 1176  ; 3,202
1000; 1,51  ; 26,22 ; 1000  ; 2,685
1200; 1,512 ; 20,32 ; 833   ; 1,46
1500; 1,489 ; 24,33 ; 666   ; 1,168
1700; 1,512 ; 17,17 ; 588   ; 1,052
2000; 1,512 ; 23    ; 500   ; 0,909
3000; 1,512 ; 30,29 ; 333   ; 0,651
4000; 1,503 ; 25,71 ; 250   ; 0,480
5000; 1,504 ; 20,84 ; 200   ; 0,457
6000; 1,503 ; 11,61 ; 166   ; 0,363
10000;1,507 ; 18,34 ; 100   ; 0,202
