Zeit;Kanal A
(ms);(mV)

-25,00899905;3,92039800
-25,00399905;4,66720000
-24,99899905;3,54699800
-24,99399905;2,42679600
-24,98899905;4,10679100
-24,98399905;2,80019700
-24,97899905;2,05339600
-24,97399905;1,86638800
-24,96899905;1,86638800
-24,96399905;1,49298700
-24,95899905;1,49298700
-24,95399905;0,55979330
-24,94899905;-0,55979330
-24,94399905;0,18639270
-24,93899905;0,00000000
-24,93399905;-0,37278540
-24,92899905;0,00000000
-24,92399905;-0,74618600
-24,91899905;0,00000000
-24,91399905;-0,55979330
-24,90899905;-1,30659400
-24,90399905;-1,11958700
-24,89899905;-0,74618600
-24,89399905;0,37278540
-24,88899905;0,37278540
-24,88399905;0,00000000
-24,87899905;-0,18639270
-24,87399906;0,37278540
-24,86899906;0,55979330
-24,86399906;0,93319390
-24,85899906;1,30659400
-24,85399906;1,86638800
-24,84899906;1,49298700
-24,84399906;2,80019700
-24,83899906;1,11958700
-24,83399906;0,93319390
-24,82899906;0,93319390
-24,82399906;1,11958700
-24,81899906;-0,18639270
-24,81399906;0,00000000
-24,80899906;0,18639270
-24,80399906;-0,55979330
-24,79899906;-0,93319390
-24,79399906;-1,11958700
-24,78899906;-1,30659400
-24,78399906;-1,11958700
-24,77899906;-2,05339600
-24,77399906;-2,05339600
-24,76899906;-2,23978800
-24,76399906;-2,80019700
-24,75899906;-2,05339600
-24,75399906;-1,67999500
-24,74899906;-2,05339600
-24,74399906;-1,11958700
-24,73899906;-1,11958700
-24,73399906;-0,55979330
-24,72899906;-0,93319390
-24,72399906;-0,55979330
-24,71899906;-0,37278540
-24,71399906;0,00000000
-24,70899906;-1,30659400
-24,70399906;-0,37278540
-24,69899906;-1,11958700
-24,69399906;-1,30659400
-24,68899906;-1,11958700
-24,68399906;-2,61318900
-24,67899906;-2,23978800
-24,67399906;-1,30659400
-24,66899906;-3,54699800
-24,66399906;-3,92039800
-24,65899906;-3,73339100
-24,65399906;-3,92039800
-24,64899906;-4,10679100
-24,64399906;-4,10679100
